,Metabolite,p_value,Ex,adj_p,reject
57,isobutyrylcarnitineC,0.5112927618973359,S,0.9129376739358659,False
58,butyrylglycineC,0.17273682004341004,R,0.81311338587199,False
59,butyrylglycineC,0.592632385593828,S,0.9623578608434302,False
60,propionylcarnitineC,0.3930127922582022,R,0.9129376739358659,False
61,propionylcarnitineC,0.5594201077064342,S,0.9288484807201172,False
62,Nacetylisoleucine,0.013633932404939552,R,0.7587385991007701,False
63,Nacetylisoleucine,0.3680844563920721,S,0.9129376739358659,False
64,alphahydroxyisovalerate,0.33258336788572074,R,0.9129376739358659,False
65,alphahydroxyisovalerate,0.6511386473576911,S,0.9649933650735006,False
66,aconitatecisortrans,0.862343509448589,R,0.9865492506154662,False
67,aconitatecisortrans,0.10571519456826305,S,0.7860525595138026,False
68,isovalerylcarnitineC,0.060354206746652164,R,0.7587385991007701,False
69,isovalerylcarnitineC,0.7658748933157702,S,0.9865492506154662,False
70,isovalerylglycine,0.10521678016156025,R,0.7860525595138026,False
71,isovalerylglycine,0.3233090705755679,S,0.9129376739358659,False
72,methylbutyrylcarnitineC,0.3672968472016721,R,0.9129376739358659,False
73,methylbutyrylcarnitineC,0.5112882660556839,S,0.9129376739358659,False
74,malonylcarnitine,0.7002122584050525,R,0.9713946508672375,False
75,malonylcarnitine,0.34750754110784643,S,0.9129376739358659,False
76,hydroxymethylvalerate,0.6671760894788588,R,0.9649933650735006,False
77,hydroxymethylvalerate,0.7779789582962184,S,0.9865492506154662,False
78,betahydroxyisovaleroylcarnitine,0.11133680251110398,R,0.7860525595138026,False
79,betahydroxyisovaleroylcarnitine,0.8808217777897569,S,0.9865492506154662,False
80,tiglylcarnitineC,0.09216312642889782,R,0.7860525595138026,False
81,tiglylcarnitineC,0.8923224331898558,S,0.9865492506154662,False
82,deoxycarnitine,0.1161214008372663,R,0.7860525595138026,False
83,deoxycarnitine,0.6798816890290573,S,0.9649933650735006,False
84,succinylcarnitineCDC,0.46925480665358155,R,0.9129376739358659,False
85,succinylcarnitineCDC,0.35163269099721584,S,0.9129376739358659,False
86,hydroxyglutarate,0.6014736630271439,R,0.9623578608434302,False
87,hydroxyglutarate,0.916306787741255,S,0.9865492506154662,False
