,Metabolite,p_value,Ex,adj_p,reject
376,inosinemonophosphateIMP,0.6501992741245413,R,0.7439052648952235,False
377,myoinositol,0.7502027940607345,R,0.7992424760090718,False
378,malate,0.6534060186830628,R,0.7454358228684259,False
379,methylmalonateMMA,0.7833767650476303,R,0.8203665006902955,False
380,nicotinamide,0.5480359235583177,R,0.6870630400092821,False
381,stearate,0.3432231032614783,R,0.5301055136211382,False
382,phosphate,0.08977980832596943,R,0.2675927360999712,False
383,phosphoenolpyruvatePEP,0.8204992951563072,R,0.8493276487699072,False
384,riboflavinvitaminB,0.1668789836377058,R,0.36053041672512337,False
385,salicylate,0.3191738441857352,R,0.5082893235889255,False
386,spermine,0.9093340148107757,R,0.8888122398921721,False
387,taurine,0.683371480478211,R,0.7581568636441738,False
388,urea,0.2530045169334712,R,0.4517516549441467,False
389,deoxyuridine,0.7272572320564836,R,0.7857250208113773,False
390,transurocanate,0.0220654001867491,R,0.13968674828966787,False
391,adenosine,0.6126585825102051,R,0.727203179400183,False
392,tyrosine,0.49185889034239194,R,0.6451436815107402,False
393,pseudouridine,0.9070787344224148,R,0.8885195787309077,False
394,pyruvate,0.10418695482185121,R,0.292724827340187,False
395,uracil,0.859249213799918,R,0.869464858349719,False
396,xylose,0.2337801180036512,R,0.43220844530837577,False
397,arabinose,0.14716204944980416,R,0.34356974400785606,False
398,UMP,0.7161979514375925,R,0.7803806981524835,False
399,thymidine,0.6595123775723613,R,0.7482943126736378,False
400,thiaminvitaminB,0.06582706769954576,R,0.2345280644551258,False
401,fructose,0.05321635063598763,R,0.20797818666921697,False
402,cytosine,0.1220262651136851,R,0.31680888818694375,False
403,thymine,0.2314025028355194,R,0.4302289251747764,False
404,caprate,0.3867163655884366,R,0.564237592458557,False
405,margarate,0.2210375185379938,R,0.41703137734015583,False
406,nonadecanoate,0.6853501784630595,R,0.7586377171725304,False
407,arachidate,0.30811761186494363,R,0.4979284613682423,False
408,ribose,0.15797540523680353,R,0.3536003295526101,False
409,heptanoate,0.012344172116541766,R,0.1150585466010426,False
410,caproate,0.025777646596922953,R,0.14735580069584314,False
411,sucrose,0.0030104641535564085,R,0.05912860363138997,True
412,allantoin,0.839579712970599,R,0.8597835028549183,False
413,oxoproline,0.6437126582958533,R,0.7426162961395393,False
414,picolinate,0.873203288408288,R,0.8744458218469446,False
415,phosphoethanolaminePE,0.7541135005401833,R,0.801180223874869,False
416,ureidopropionate,0.37178080580757245,R,0.5540546639077831,False
417,Nacetylleucine,0.19854866964930482,R,0.3981368611292343,False
418,Nacetylmethionine,0.39181620965395114,R,0.5684303344600883,False
419,Nacetylvaline,0.9710157266773419,R,0.9229734811203408,False
420,erucaten,0.9714210491010429,R,0.9229734811203408,False
421,guanosine,0.3190932015963416,R,0.5082893235889255,False
422,gammaglutamyltyrosine,0.6497242722433708,R,0.7439052648952235,False
423,methylindoleacetate,0.1638936664321595,R,0.3597207693038229,False
424,acetamidobutanoate,0.9058313510606336,R,0.8885195787309077,False
425,dihydrouracil,0.12872727630940964,R,0.3254293519901247,False
426,ursodeoxycholate,0.004071963627675976,R,0.07253777066976273,True
427,oleoylethanolamide,0.8686220449385835,R,0.8738510420774469,False
428,hydroxyphenylpyruvate,0.5302884296710134,R,0.6758751033743698,False
429,isocitrate,0.03716616220927443,R,0.17006834309561758,False
430,creatine,0.4676969279681287,R,0.6296236323788869,False
431,dihomolinoleaten,0.2025706693199195,R,0.40467321697141395,False
