,Metabolite,p_value,AIC,VS,VS_SDev,HS,HS_SDev,VR,VR_SDev,HR,HR_SDev
22,citrate,0.004531445911419643,32.08311263366542,-1.1004564843463396,0.0758679784163539,-0.6963100685631566,0.0692450494097465,0.7145564244045618,0.12628749342535814,1.082210128504935,0.12269488854487885
23,tigloylglycine,0.02426957964831254,60.67462753199683,-1.07293692830861,0.07268216337751347,0.09652545758179071,0.06633734151532784,0.0847729299170243,0.12042356570757261,0.891638540809797,0.31484747154535353
24,isocitrate,0.024262675139951135,66.08752780929049,-0.7148599188240933,0.12186998301896822,0.012533774719051741,0.11123128850754191,-0.1858404649779549,0.25232368895637247,0.888166609082995,0.44598247468174745
25,methylsuccinate,0.1297436201994547,67.56887731581931,-0.8194375898271503,0.2562510150825158,0.021254429688773353,0.2338814684544387,0.1560449822521589,0.38141997778374087,0.6421381778862191,0.33147913444263555
26,ethylmalonate,0.28031694286854253,67.54347828927551,-0.8383394526255223,0.22137814626103527,-0.028127967203127782,0.20205284226710235,0.24602305737411143,0.32519623613899584,0.6204443624545412,0.3672290388549131
27,carnitine,0.8898845855748299,67.0215551331452,0.2852764271019386,0.5076989273963113,0.18970529307207903,0.4633791231381332,-0.4403914864224821,0.7676505857063499,-0.034590233751535006,0.5822791191713891
28,methyloxovalerate,0.09346478433492793,74.50684616025922,-0.07078795894364605,0.12919557000370194,-0.5053686289587397,0.11791738510984626,0.3280955265105501,0.1901916818576697,0.24806106139183495,0.29445695151463874
29,methyloxopentanoate,0.07198269673281411,73.8382615507057,-0.08105556372068817,0.09014688501944265,-0.5306756321649606,0.08227747249372452,0.2921987100725855,0.15312971857437194,0.319532485813062,0.4163261563561809
30,alphahydroxyisocaproate,0.15732681698135528,70.17977635265802,-0.03481462862864813,0.34025146871015477,-0.37450707539865286,0.3105490650254996,0.4846804453799945,0.5741999319628865,-0.07535874135269129,0.5916990862576454
31,isovalerateC,6.685242611651148e-05,64.5381782446694,-0.932594515313753,0.09341854403488586,-0.0910430642605778,0.08526353057652925,0.13349387517057745,0.1417772604362342,0.8901437044037553,0.10569645197264857
32,acetylcarnitineC,0.00018844245338094028,57.46273810515879,-0.4966174602127083,0.5398321641532393,0.3316057998863983,0.4927072746636382,-0.46123167859134084,0.8387322749975972,0.6262433389176518,0.614733284507373
