,Metabolite,p_value,Ex,adj_p,reject
40,citrulline,0.18546406177672717,R,0.5089998378539532,False
41,citrulline,0.856973508757759,S,0.9518198785287328,False
42,methionine,0.03058476894709531,R,0.2421099648712812,False
43,methionine,0.7140531324081048,S,0.888923287283559,False
44,orotate,0.02673512489643315,R,0.22422432053690708,False
45,orotate,0.5650738021547261,S,0.8060268677227662,False
46,glutathioneoxidizedGSSG,0.7557709665530381,R,0.9081512077815764,False
47,glutathioneoxidizedGSSG,0.6379364408304435,S,0.8420144734740633,False
48,phenylalanine,0.026582789035179674,R,0.22422432053690708,False
49,phenylalanine,0.223812593482541,S,0.5499849749796091,False
50,phosphate,0.001758301766923592,R,0.11612654920444664,False
51,phosphate,0.48811774009267006,S,0.745475841643739,False
52,proline,0.9617550748380719,R,0.9797053169028295,False
53,proline,0.437068028242139,S,0.7155861961002147,False
54,lactate,0.24252662097255806,R,0.5664416800642854,False
55,lactate,0.4821674562570737,S,0.7407520772423488,False
56,serine,0.15845802857471464,R,0.48850268407335456,False
57,serine,0.2838764752088598,S,0.6045827116793382,False
58,serotonin,0.239262247349038,R,0.5626189353763092,False
59,serotonin,0.5661750947091615,S,0.806488424743682,False
60,taurine,0.9224401512765728,R,0.9656028729921277,False
61,taurine,0.9893472456396083,S,0.9874428236075782,False
62,deoxyuridine,0.07920532192152248,R,0.3750498576831909,False
63,deoxyuridine,0.4699743013782689,S,0.7325811363982385,False
64,glutamine,0.09512640436078862,R,0.4136449044358246,False
65,glutamine,0.8522824169631834,S,0.9518198785287328,False
66,threonine,0.8890197140635456,R,0.9524048696152252,False
67,threonine,0.4661678825853458,S,0.7291343804540024,False
68,tryptophan,0.027211662970813514,R,0.22422432053690708,False
69,tryptophan,0.9705488564612854,S,0.9833790584010449,False
70,glucose,0.22094736966237197,R,0.5486334540563168,False
71,glucose,0.736504404899772,S,0.8967523315897531,False
72,betaine,0.27975431235057646,R,0.6018780537500992,False
73,betaine,0.18553706722159533,S,0.5089998378539532,False
74,cysteine,0.06687983699780914,R,0.3399725047388631,False
75,cysteine,0.39358801442366953,S,0.6970233764603281,False
76,tyrosine,0.0015938040066608649,R,0.11612654920444664,False
77,tyrosine,0.5100576520745104,S,0.7610500506493054,False
78,pseudouridine,0.856810384083978,R,0.9518198785287328,False
79,pseudouridine,0.31962655356493797,S,0.6346115403393294,False
80,UMP,0.4064654587102353,R,0.6970233764603281,False
81,UMP,0.1853157283359721,S,0.5089998378539532,False
82,thymidine,0.24218143501018996,R,0.5664416800642854,False
83,thymidine,0.7758707575253634,S,0.9142757367810042,False
84,asparagine,0.3804717939403305,R,0.6937900089694876,False
85,asparagine,0.3200596293128923,S,0.6346115403393294,False
86,heptanoate,0.2335144621725101,R,0.5577512317966399,False
87,heptanoate,0.3819216403090634,S,0.6937900089694876,False
88,hydroxyproline,0.051583974888511186,R,0.3080626414243588,False
89,hydroxyproline,0.9583012795208765,S,0.9794778417943912,False
90,oxoproline,0.12693118904613238,R,0.46248122451290075,False
91,oxoproline,0.8889933244408773,S,0.9524048696152252,False
92,pipecolate,0.6610183509335369,R,0.849412676478411,False
93,pipecolate,0.9667435971395495,S,0.980932593183672,False
94,alphatocopherol,0.12933419007593175,R,0.46248122451290075,False
95,alphatocopherol,0.642928514083907,S,0.8423915294898253,False
96,Nacetylalanine,0.001791283964328296,R,0.11612654920444664,False
97,Nacetylalanine,0.4622072719895639,S,0.7275921452231616,False
98,citrate,0.1800220907435324,R,0.5031884315391997,False
99,citrate,0.025934254353719797,S,0.22422432053690708,False
100,urate,0.6757159016753258,R,0.8573265256467627,False
101,urate,0.35924632777922594,S,0.673668068548024,False
102,Nacetylglucosaminylasparagine,0.18078737170683365,R,0.5039690980107163,False
103,Nacetylglucosaminylasparagine,0.12024179113532515,S,0.4620342471029206,False
104,creatine,0.012633876049306703,R,0.19150099186963726,False
105,creatine,0.4538932883140654,S,0.7269095709663902,False
106,HHTrE,0.05731205605037328,R,0.32125730877965997,False
107,HHTrE,0.37114664330155034,S,0.6863662767039076,False
108,methoxytyrosine,0.30556529305745844,R,0.6253355342919635,False
109,methoxytyrosine,0.008718787560132519,S,0.18045586784751852,False
110,palmitoyllinoleoylGPI,0.16391919690001538,R,0.4916973923702215,False
111,palmitoyllinoleoylGPI,0.6422597898997159,S,0.8423915294898253,False
112,palmitoyllinoleoylGPC,0.9991197173815528,R,0.9886327737830822,False
113,palmitoyllinoleoylGPC,0.8875160985649211,S,0.9524048696152252,False
114,stearoylsphingomyelind,0.16453133573044057,R,0.4916973923702215,False
115,stearoylsphingomyelind,0.5136178088810663,S,0.76148766480366,False
116,palmitoyloleoylGPC,0.3685054281382214,R,0.686068454181931,False
117,palmitoyloleoylGPC,0.9799834716572109,S,0.9833790584010449,False
118,Nstearoylsphingosined,0.9662026339016879,R,0.980932593183672,False
119,Nstearoylsphingosined,0.9274696088243638,S,0.9664166191561745,False
120,ethylmalonate,0.11839656438580495,R,0.45812401965701394,False
121,ethylmalonate,0.9115431448012632,S,0.9625969869235335,False
122,anserine,0.2618998429320911,R,0.5821648588712558,False
123,anserine,0.2588148705780818,S,0.5821648588712558,False
124,glucuronate,0.0023744564184638916,R,0.12002401353257454,False
125,glucuronate,0.34964329878791156,S,0.6604373421549441,False
126,glycerophosphorylcholineGPC,0.7184467836010371,R,0.8911833906630088,False
127,glycerophosphorylcholineGPC,0.4255154007085997,S,0.7096168225033382,False
128,ribitol,0.6120541631739531,R,0.8285902966206127,False
129,ribitol,0.22878319192214672,S,0.5522770519727099,False
130,indolelactate,0.7215937574215552,R,0.8913924217186202,False
131,indolelactate,0.5863719070496061,S,0.8200655459637549,False
132,glycylvaline,0.6559194815094826,R,0.8481153395577724,False
133,glycylvaline,0.5480281142599277,S,0.7882179673891054,False
134,arachidonoylglycerol,0.0024305730802160704,R,0.12002401353257454,False
135,arachidonoylglycerol,0.6751711279531509,S,0.8573265256467627,False
136,stearoylarachidonoylGPI,0.13221191910111904,R,0.46765411880876384,False
137,stearoylarachidonoylGPI,0.9145754433125082,S,0.9635962117329894,False
138,myristoylpalmitoylGPC,0.22119631828128963,R,0.5486334540563168,False
139,myristoylpalmitoylGPC,0.3952189724492744,S,0.6970233764603281,False
140,maleate,0.8299784993633638,R,0.942256822164887,False
141,maleate,0.5378723273099004,S,0.7801419363758831,False
142,methylcytidine,0.0019377882329797722,R,0.11816472103304848,False
143,methylcytidine,0.0006448344969636688,S,0.06731173000023921,True
144,hexanoylcarnitineC,0.026580118936074693,R,0.22422432053690708,False
145,hexanoylcarnitineC,0.879225365434634,S,0.9524048696152252,False
146,tartronatehydroxymalonate,0.04469509608308924,R,0.2878808362618854,False
147,tartronatehydroxymalonate,0.09961519425440017,S,0.42074573544228133,False
148,homocitrulline,0.012833162951961713,R,0.19150099186963726,False
149,homocitrulline,0.8999704751087908,S,0.9570267204621093,False
150,ribonate,0.7237728245777032,R,0.8913924217186202,False
151,ribonate,0.2889502168148899,S,0.607369528505727,False
152,threonate,0.08019356817598838,R,0.375378811262354,False
153,threonate,0.09074050636834302,S,0.4073502385453321,False
154,galactonate,0.6666162105768622,R,0.8536806036025535,False
155,galactonate,0.08164357849177806,S,0.37966094572185577,False
156,butyrylcarnitineC,0.2821366108519319,R,0.6045827116793382,False
157,butyrylcarnitineC,0.786479016678638,S,0.9210540666290128,False
158,trigonellineNmethylnicotinate,0.04779636832685281,R,0.2967954129038704,False
159,trigonellineNmethylnicotinate,0.9952266328607409,S,0.9880092614795527,False
160,methylhistamine,0.01080031799241557,R,0.1836054058710647,False
161,methylhistamine,0.585547185138821,S,0.8200655459637549,False
162,imidazoleacetate,0.20440000577356945,R,0.5251202960427567,False
163,imidazoleacetate,0.48062145388452293,S,0.7394724743000746,False
164,octanoylcarnitineC,0.0009122987069218969,R,0.08600488718890972,True
165,octanoylcarnitineC,0.28638710150646196,S,0.607369528505727,False
166,decanoylcarnitineC,0.0060565597620997925,R,0.17373255739604632,False
167,decanoylcarnitineC,0.9227442883226697,S,0.9656028729921277,False
168,glycylleucine,0.7705255180384374,R,0.9130908108495636,False
169,glycylleucine,0.41590040575457454,S,0.7035705069616539,False
170,campesterol,0.5058261962498491,R,0.7595058891400069,False
171,campesterol,0.14382767901660984,S,0.46765411880876384,False
172,Nacetylthreonine,0.3781187850012574,R,0.692772402908664,False
173,Nacetylthreonine,0.38519414742708746,S,0.6937900089694876,False
174,alphahydroxyisovalerate,0.40168216256442824,R,0.6970233764603281,False
175,alphahydroxyisovalerate,0.8955793586116033,S,0.9552866876008631,False
176,gammaglutamylthreonine,0.38737166363870146,R,0.6937900089694876,False
177,gammaglutamylthreonine,0.07481501544451176,S,0.3642402395115432,False
178,erythronate,0.04855595842115399,R,0.2979439578860159,False
179,erythronate,0.6100291231081983,S,0.827992816112883,False
180,aconitatecisortrans,0.33554610971377785,R,0.6479726550711129,False
181,aconitatecisortrans,0.0867298359904408,S,0.3962063432691062,False
182,laurylcarnitineC,0.006995631946678685,R,0.17373255739604632,False
183,laurylcarnitineC,0.5337062926804207,S,0.7782246097163062,False
184,dihydrouridine,0.8627875465930654,R,0.9518198785287328,False
185,dihydrouridine,0.13572678708146851,S,0.46765411880876384,False
186,cysteineglutathionedisulfide,0.011559666219703323,R,0.18667440040299238,False
187,cysteineglutathionedisulfide,0.2439391388346638,S,0.5671858452276825,False
188,methyluridineribothymidine,0.36305594483377335,R,0.6783585852119333,False
189,methyluridineribothymidine,0.705305065928842,S,0.8796480270144083,False
190,methylguanine,0.049036163144178434,R,0.29912059517948847,False
191,methylguanine,0.6094208692967309,S,0.827992816112883,False
192,hydroxybutyrateGHB,0.6070006732488658,R,0.827992816112883,False
193,hydroxybutyrateGHB,0.864924566092617,S,0.9524048696152252,False
194,hydroxymethylvalerate,0.9943692606956056,R,0.9880092614795527,False
195,hydroxymethylvalerate,0.9805341816650728,S,0.9833790584010449,False
196,eicosadienoylGPC,0.13833896077269406,R,0.46765411880876384,False
197,eicosadienoylGPC,0.7645557178868787,S,0.9092250911108867,False
198,glycerophosphoglycerol,0.4522990842289635,R,0.7269095709663902,False
199,glycerophosphoglycerol,0.8302830370957539,S,0.942256822164887,False
200,glycerophosphoethanolamine,0.581025942335464,R,0.8164280517640597,False
201,glycerophosphoethanolamine,0.30553243879618275,S,0.6253355342919635,False
202,mannitolsorbitol,0.1434861543289012,R,0.46765411880876384,False
203,mannitolsorbitol,0.024691262234727375,S,0.22422432053690708,False
204,methylphosphate,0.9712385805375788,R,0.9833790584010449,False
205,methylphosphate,0.5757505556931537,S,0.8144294693199601,False
206,Nacetylserine,0.4121231743341104,R,0.7005613234848327,False
207,Nacetylserine,0.9227699586646081,S,0.9656028729921277,False
208,stearoylarachidonoylGPS,0.020631442913449524,R,0.21336267889051755,False
209,stearoylarachidonoylGPS,0.8477885155828888,S,0.9518198785287328,False
210,ergothioneine,0.9856171179031235,R,0.9846675831074557,False
211,ergothioneine,0.32508343162442577,S,0.6374791056482763,False
212,RRdihydroxybutyrate,0.1398652840417632,R,0.46765411880876384,False
213,RRdihydroxybutyrate,0.2589287019410609,S,0.5821648588712558,False
214,dihydroxyisovalerate,0.05943741276799424,R,0.3222901418099239,False
215,dihydroxyisovalerate,0.803662671971031,S,0.9281579080719695,False
216,methylglutaconate,0.002051075196330639,R,0.11816472103304848,False
217,methylglutaconate,0.30151763993855607,S,0.624099386459646,False
218,galactosylhydroxylysine,0.8899520912798007,R,0.9524048696152252,False
219,galactosylhydroxylysine,0.20099396599016353,S,0.5213294313727116,False
220,nicotinamideNoxide,0.6767310989057607,R,0.8573265256467627,False
221,nicotinamideNoxide,0.08750366699054651,S,0.39798816960174005,False
222,oxoarginine,7.139226017139605e-06,R,0.0029667207641586703,True
223,oxoarginine,0.006631094146417936,S,0.17373255739604632,False
224,equolsulfate,0.7351675373467725,R,0.8967523315897531,False
225,equolsulfate,0.4057930196954145,S,0.6970233764603281,False
226,mannonate,0.01146742923634191,R,0.18667440040299238,False
227,mannonate,0.4276306574067862,S,0.7106618457224956,False
228,Rhydroxybutyrylcarnitine,0.7781467796285431,R,0.9148959302435364,False
229,Rhydroxybutyrylcarnitine,0.46337469694644373,S,0.7275921452231616,False
230,Nacetylcarnosine,0.6108143725422908,R,0.827992816112883,False
231,Nacetylcarnosine,0.05430250852259128,S,0.3111143720327467,False
232,Ndeltaacetylornithine,0.49901467612494466,R,0.7528542275936927,False
233,Ndeltaacetylornithine,0.9591274058881306,S,0.9794778417943912,False
234,hydroxyphenylpropionatesulfate,0.6288953556873476,R,0.8361083126253582,False
235,hydroxyphenylpropionatesulfate,2.122551905422727e-06,S,0.0022010863259233683,True
236,myristoleoylcarnitineC,0.021373507714881994,R,0.2172973284346336,False
237,myristoleoylcarnitineC,0.3799020457697262,S,0.6937900089694876,False
238,Nformylphenylalanine,0.12799522224815926,R,0.46248122451290075,False
239,Nformylphenylalanine,0.46821945269993825,S,0.7312403199545723,False
240,arabonatexylonate,0.2040435676273465,R,0.5251202960427567,False
241,arabonatexylonate,0.744087821239283,S,0.9004240727091023,False
242,nonanoylcarnitineC,4.3217573400560306e-05,R,0.011204155904095259,True
243,nonanoylcarnitineC,0.8139697714299274,S,0.9347581981980452,False
244,palmitoylarachidonoylGPCn,0.7921471906989288,R,0.9249987326591962,False
245,palmitoylarachidonoylGPCn,0.5263071461247846,S,0.7687049444104247,False
246,palmitoyldocosahexaenoylGPC,0.39015899088525086,R,0.6939960856107449,False
247,palmitoyldocosahexaenoylGPC,0.8618859294112762,S,0.9518198785287328,False
248,enylstearoyloleoylGPCP,0.010010851275053993,R,0.18184700008097673,False
249,enylstearoyloleoylGPCP,0.22929582888540825,S,0.5522770519727099,False
250,tricosanoylsphingomyelind,0.14310550528421206,R,0.46765411880876384,False
251,tricosanoylsphingomyelind,0.31354321773934657,S,0.6325764918204326,False
252,palmitoylpalmitoleoylGPC,0.8963297464181675,R,0.9552866876008631,False
253,palmitoylpalmitoleoylGPC,0.7767376317300527,S,0.9142757367810042,False
254,palmitoylarachidonoylGPE,0.1969973324949261,R,0.5211383515235672,False
255,palmitoylarachidonoylGPE,0.2230034282415665,S,0.5499849749796091,False
256,palmitoylarachidonoylGPI,0.12548511406458696,R,0.46248122451290075,False
257,palmitoylarachidonoylGPI,0.5253864488191131,S,0.7687049444104247,False
258,enylstearoylarachidonoylGPEP,0.12764373305540694,R,0.46248122451290075,False
259,enylstearoylarachidonoylGPEP,0.4651268581319413,S,0.7286050632671045,False
260,enylpalmitoyloleoylGPCP,0.39791993730469744,R,0.6970233764603281,False
261,enylpalmitoyloleoylGPCP,0.8774921020754516,S,0.9524048696152252,False
262,enylpalmitoylarachidonoylGPCP,0.27345560016417564,R,0.5957425575005255,False
263,enylpalmitoylarachidonoylGPCP,0.20037701462672555,S,0.5213294313727116,False
264,Npalmitoylsphinganined,0.4425639528482991,R,0.716773460380684,False
265,Npalmitoylsphinganined,0.2551164693882331,S,0.5779371345900742,False
